f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
0.704644,-0.073350,0.037710,-0.704751,0.735638,-0.220467,-0.110107,-0.630958,0.765344,-0.063381,-0.238356,-0.594489,0.788570,-0.072889,-0.235623,-0.563317,0.823017,0.090031,-0.002060,-0.560833,0.822344,0.068658,-0.033328,-0.563849,0.824955,0.020336,-0.000219,-0.564833,0.709461,-0.048339,0.062978,-0.700259,0.709736,0.044108,-0.028399,-0.702511,0.639961,0.046601,-0.024091,-0.766615,0.640270,0.091595,0.013579,-0.762548,0.638684,0.019061,-0.047040,-0.767793,0.638633,-0.020715,0.000823,-0.769232,0.676398,-0.074776,0.034798,-0.731904,0.676228,-0.071359,0.037954,-0.732245,0.679291,-0.030660,-0.006045,-0.733203,0.504165,-0.028620,-0.012549,-0.863042,0.447059,0.393305,0.233405,-0.768747,0.477736,0.355413,0.295513,-0.747075,0.532066,0.376442,0.268213,-0.709408,0.538801,0.358035,0.254413,-0.718873,0.674008,-0.040209,0.066627,-0.734614,0.668986,-0.091438,0.122396,-0.727404,0.781522,-0.069612,0.136000,-0.604881,0.602696,0.248816,0.515782,-0.555714,0.602477,0.249344,0.515294,-0.556166,0.588762,0.236728,0.521211,-0.570665,0.619820,0.201042,0.483864,-0.584193,0.676398,-0.074776,0.034798,-0.731904,0.676398,-0.074776,0.034798,-0.731904
